sales_agent,close_year,revenue,first_active_year,years_active,deals_worked,win_rate,next_year_revenue
Wilburn Grunwald,2024,17752861.03,2022,2,287.0,0.34146341463414637,22390541.74
Wilburn Grunwald,2025,22390541.74,2022,3,315.0,0.3746031746031746,4644422.66
Wilburn Grunwald,2026,4644422.66,2022,4,0.0,0.0,
Wilburn Hillebrand,2022,15833092.209999999,2022,0,240.0,0.3625,17158878.93
Wilburn Hillebrand,2023,17158878.93,2022,1,282.0,0.32269503546099293,23375684.44
Wilburn Hillebrand,2024,23375684.44,2022,2,285.0,0.36140350877192984,27500092.97
Wilburn Hillebrand,2025,27500092.97,2022,3,374.0,0.39572192513368987,5844912.59
Wilburn Hillebrand,2026,5844912.59,2022,4,0.0,0.0,
Zane Cordell,2022,14591171.76,2022,0,217.0,0.42857142857142855,17742038.17
Zane Cordell,2023,17742038.17,2022,1,276.0,0.39855072463768115,24541093.6
Zane Cordell,2024,24541093.6,2022,2,296.0,0.3952702702702703,25792624.38
Zane Cordell,2025,25792624.38,2022,3,322.0,0.38819875776397517,4406375.95
Zane Cordell,2026,4406375.95,2022,4,0.0,0.0,
Zane Everman,2022,11683791.51,2022,0,206.0,0.3786407766990291,21957796.31
Zane Everman,2023,21957796.31,2022,1,304.0,0.3782894736842105,22856213.68
Zane Everman,2024,22856213.68,2022,2,314.0,0.39490445859872614,23166991.37
Zane Everman,2025,23166991.37,2022,3,320.0,0.34375,2868769.5100000002
Zane Everman,2026,2868769.5100000002,2022,4,0.0,0.0,
Zane Sturm,2022,13569345.15,2022,0,217.0,0.3778801843317972,17228412.77
Zane Sturm,2023,17228412.77,2022,1,255.0,0.34509803921568627,18672297.06
Zane Sturm,2024,18672297.06,2022,2,258.0,0.3875968992248062,24465314.58
Zane Sturm,2025,24465314.58,2022,3,323.0,0.42105263157894735,3737480.4
Zane Sturm,2026,3737480.4,2022,4,0.0,0.0,
