opportunity_id,sales_agent,manager,regional_office,product,account,sector,office_location,engage_date,close_date,deal_stage,deal_value_proposed,close_value,revenue,employees,sales_cycle_days,is_won,is_closed,close_year_quarter
SYN000030,Kary Marconi,Dustin Brinkmann,East,MG Emperor,Account_0431,telecommunications,Australia,2023-07-23,2023-10-10,Won,4033.92,3700.75,197756.42,2978,79.0,1,1,2023Q4
SYN000031,Jonathan Everman,Melvin Marxen,West,MG Advanced,Account_0173,entertainment,Canada,2024-11-16,2025-01-25,Won,3376.16,2969.71,266985.45,4599,70.0,1,1,2025Q1
SYN000032,Gaston Grunwald,Rosalind Dwyer,West,MG Special,Account_0473,entertainment,United States,2025-10-04,2025-12-04,Won,3928.85,3501.3,300941.41,5258,61.0,1,1,2025Q4
SYN000033,Corliss Marconi,Rocco Neubert,Central,MG Advanced,Account_0452,employment,Australia,2023-03-12,2023-05-11,Lost,3189.29,0.0,300369.93,5105,60.0,0,1,2023Q2
SYN000034,Gaston Sturm,Rocco Neubert,Central,MG Emperor,Account_0445,entertainment,Japan,2024-01-25,2024-04-06,Won,3421.8,3283.46,232156.06,3473,72.0,1,1,2024Q2
SYN000035,Kary Marconi,Dustin Brinkmann,Central,MG Special,Account_0170,retail,Australia,2023-06-08,2023-07-24,Won,2818.31,2729.86,219809.22,3693,46.0,1,1,2023Q3
SYN000036,Boris Purl,Melvin Marxen,Central,MG Special,Account_0232,technology,Australia,2023-09-26,2023-12-26,Lost,4257.41,0.0,226122.49,4000,91.0,0,1,2023Q4
SYN000037,Wilburn Grunwald,Cara Losch,East,MG Advanced,Account_0199,telecommunications,Japan,2023-05-17,,Engaging,4362.32,,173698.26,2970,,0,0,
SYN000038,Jonathan Berthelot,Summer Sewald,Central,GTK 500,Account_0441,employment,Japan,2024-12-14,2025-02-07,Lost,2976.39,0.0,185375.73,2892,55.0,0,1,2025Q1
SYN000039,Gaston Berthelot,Melvin Marxen,East,GTK 500,Account_0040,employment,United States,2022-07-13,2022-09-03,Won,2702.5,2777.98,157490.98,2320,52.0,1,1,2022Q3
SYN000040,Gaston Grunwald,Rosalind Dwyer,West,MG Advanced,Account_0299,services,United States,2025-12-06,2026-02-25,Lost,3435.35,0.0,213041.7,3752,81.0,0,1,2026Q1
SYN000041,Kami Herrold,Cara Losch,Central,GTK 500,Account_0010,services,United Kingdom,2022-11-16,2023-01-17,Won,3121.35,2901.71,76680.55,267,62.0,1,1,2023Q1
SYN000042,Gaston Nicholson,Summer Sewald,West,MG Emperor,Account_0092,software,Canada,2024-07-12,2024-10-04,Won,3746.56,3898.16,160193.71,2507,84.0,1,1,2024Q4
SYN000043,Jonathan Everman,Melvin Marxen,Central,MG Advanced,Account_0008,technology,United Kingdom,2024-11-12,2025-02-13,Won,3565.65,3457.13,100060.94,840,93.0,1,1,2025Q1
SYN000044,Boris Nicholson,Rocco Neubert,West,GTX Basic,Account_0044,medical,Australia,2024-06-20,2024-10-13,Lost,4957.88,0.0,172244.49,2343,115.0,0,1,2024Q4
SYN000045,Corliss Hillebrand,Dustin Brinkmann,Central,MG Special,Account_0491,medical,United States,2022-10-12,2023-01-15,Lost,5489.97,0.0,320000.0,5997,95.0,0,1,2023Q1
SYN000046,Zane Cordell,Dustin Brinkmann,West,MG Emperor,Account_0023,retail,Japan,2023-07-11,,Engaging,2581.9,,220402.1,3503,,0,0,
SYN000047,Gaston Sturm,Rocco Neubert,Central,MG Advanced,Account_0455,retail,Australia,2024-10-17,2024-12-16,Lost,2568.94,0.0,89225.72,285,60.0,0,1,2024Q4
SYN000048,Jonathan Marconi,Rocco Neubert,East,GTK 500,Account_0021,marketing,Japan,2025-09-04,2025-11-15,Lost,2280.07,0.0,80971.69,808,72.0,0,1,2025Q4
SYN000049,Vernita Everman,Cara Losch,West,MG Advanced,Account_0282,finance,Germany,2022-04-18,2022-07-27,Lost,4405.45,0.0,171812.52,2554,100.0,0,1,2022Q3
SYN000050,Niesha Hillebrand,Rosalind Dwyer,Central,GTX Plus Pro,Account_0408,marketing,Germany,2023-04-21,2023-06-28,Lost,3057.13,0.0,320000.0,5701,68.0,0,1,2023Q2
SYN000051,Zane Sturm,Rosalind Dwyer,West,GTX Basic,Account_0402,employment,Japan,2025-10-04,2025-11-21,Lost,2348.66,0.0,202173.33,2951,48.0,0,1,2025Q4
SYN000052,Zane Sturm,Rosalind Dwyer,Central,GTX Basic,Account_0066,retail,United Kingdom,2022-12-08,2023-02-02,Won,2467.32,2127.18,176618.43,2384,56.0,1,1,2023Q1
SYN000053,Corliss Hillebrand,Dustin Brinkmann,West,MG Advanced,Account_0321,services,Canada,2025-05-08,2025-07-18,Won,3365.35,3482.87,259827.03,4217,71.0,1,1,2025Q3
SYN000054,Boris Hendon,Summer Sewald,East,MG Advanced,Account_0443,employment,Canada,2024-11-07,,Engaging,2291.23,,133592.5,1280,,0,0,
SYN000055,Boris Sturm,Cara Losch,West,GTX Basic,Account_0354,telecommunications,Germany,2023-07-14,,Engaging,3719.36,,126827.62,1299,,0,0,
SYN000056,Gaston Nicholson,Summer Sewald,East,GTK Pro,Account_0147,services,Australia,2024-11-08,2025-01-16,Lost,2975.69,0.0,152931.39,1761,69.0,0,1,2025Q1
SYN000057,Gaston Grunwald,Rosalind Dwyer,West,GTX Plus Basic,Account_0250,telecommunications,Japan,2023-12-19,2024-03-16,Won,3558.47,3409.17,100097.37,1087,88.0,1,1,2024Q1
SYN000058,Vernita Everman,Cara Losch,East,GTX Plus Basic,Account_0496,medical,Canada,2025-10-18,2026-01-22,Lost,4404.26,0.0,186420.36,2654,96.0,0,1,2026Q1
SYN000059,Boris Purl,Melvin Marxen,Central,GTK 500,Account_0039,employment,Australia,2023-02-09,2023-03-26,Won,2457.31,2287.71,100354.74,1094,45.0,1,1,2023Q1
SYN000060,Zane Sturm,Rosalind Dwyer,West,GTK Pro,Account_0219,services,Japan,2022-06-12,2022-08-13,Won,3325.45,3028.77,263037.61,4354,62.0,1,1,2022Q3
SYN000061,Niesha Everman,Dustin Brinkmann,Central,GTK 500,Account_0154,employment,United States,2023-12-07,2024-01-27,Lost,2397.39,0.0,76592.79,692,51.0,0,1,2024Q1
SYN000062,Kary Marconi,Dustin Brinkmann,West,MG Advanced,Account_0076,employment,Canada,2023-07-21,2023-08-30,Won,2735.08,2812.81,227038.06,3888,40.0,1,1,2023Q3
SYN000063,Wilburn Hillebrand,Summer Sewald,Central,GTK Pro,Account_0220,technology,United States,2023-02-25,2023-05-11,Lost,3948.62,0.0,264322.49,4753,75.0,0,1,2023Q2
SYN000064,Marty Marconi,Summer Sewald,West,GTX Basic,Account_0114,technology,United Kingdom,2025-08-15,2025-11-09,Lost,4403.76,0.0,248259.29,4174,86.0,0,1,2025Q4
SYN000065,Cassey Nicholson,Melvin Marxen,East,MG Emperor,Account_0301,medical,Germany,2025-12-06,2026-04-05,Lost,4874.47,0.0,218918.42,3561,120.0,0,1,2026Q2
SYN000066,Zane Cordell,Dustin Brinkmann,West,GTX Plus Basic,Account_0107,software,Germany,2025-06-04,2025-08-24,Lost,4457.89,0.0,308009.49,5691,81.0,0,1,2025Q3
SYN000067,Wilburn Hillebrand,Summer Sewald,East,GTX Plus Basic,Account_0174,services,Canada,2022-11-15,2023-01-22,Won,3154.1,3211.44,209413.93,3525,68.0,1,1,2023Q1
SYN000068,Jonathan Everman,Melvin Marxen,Central,GTK Pro,Account_0082,finance,United Kingdom,2022-01-19,,Engaging,4828.96,,143954.02,2302,,0,0,
SYN000069,Kami Herrold,Cara Losch,Central,GTK Pro,Account_0237,employment,United Kingdom,2025-08-21,2025-10-11,Won,2298.55,2111.49,74463.96,140,51.0,1,1,2025Q4
SYN000070,Anna Herrold,Cara Losch,East,MG Emperor,Account_0398,employment,Germany,2025-12-19,2026-02-21,Lost,2204.7,0.0,176456.96,2866,64.0,0,1,2026Q1
SYN000071,Vernita Cordell,Cara Losch,East,GTX Plus Pro,Account_0337,technology,Canada,2022-02-02,2022-05-02,Won,4571.18,4699.33,267652.51,4475,89.0,1,1,2022Q2
SYN000072,Anna Herrold,Cara Losch,Central,MG Special,Account_0072,marketing,United Kingdom,2022-07-26,2022-10-01,Won,3696.32,3313.48,305203.66,5313,67.0,1,1,2022Q4
SYN000073,Boris Nicholson,Rocco Neubert,Central,MG Special,Account_0257,software,United Kingdom,2025-02-25,2025-05-27,Lost,3514.77,0.0,105295.42,1149,91.0,0,1,2025Q2
SYN000074,Vernita Everman,Cara Losch,Central,GTK Pro,Account_0243,entertainment,Canada,2023-05-16,2023-07-19,Won,3199.87,2760.47,225263.66,3396,64.0,1,1,2023Q3
SYN000075,Zane Everman,Dustin Brinkmann,West,MG Special,Account_0170,marketing,United States,2024-09-01,2024-10-30,Won,2530.31,2199.69,136920.75,1272,59.0,1,1,2024Q4
SYN000076,Marty Marconi,Summer Sewald,West,GTX Plus Pro,Account_0410,marketing,United States,2022-11-27,2023-02-04,Lost,2662.32,0.0,176900.74,2599,69.0,0,1,2023Q1
SYN000077,Zane Sturm,Rosalind Dwyer,East,MG Emperor,Account_0311,services,United States,2025-11-27,2026-01-25,Won,3423.01,2942.71,279575.88,4548,59.0,1,1,2026Q1
SYN000078,Jonathan Hendon,Rosalind Dwyer,East,GTK Pro,Account_0301,marketing,United Kingdom,2025-10-06,,Engaging,3250.95,,199079.04,2934,,0,0,
SYN000079,Vernita Cordell,Cara Losch,West,GTX Basic,Account_0177,technology,Canada,2023-11-17,2024-02-06,Won,3923.07,3374.35,201797.82,3010,81.0,1,1,2024Q1
SYN000080,Cassey Marconi,Rocco Neubert,Central,GTX Plus Basic,Account_0375,medical,United States,2022-06-10,2022-09-12,Lost,4666.28,0.0,255332.68,4602,94.0,0,1,2022Q3
SYN000081,Jonathan Everman,Melvin Marxen,East,MG Emperor,Account_0399,finance,United States,2025-10-17,,Engaging,4680.99,,274574.98,4492,,0,0,
SYN000082,Boris Purl,Melvin Marxen,West,GTX Plus Basic,Account_0055,retail,Germany,2025-10-18,2025-12-16,Won,3257.38,3204.03,320000.0,5941,59.0,1,1,2025Q4
SYN000083,Jonathan Marconi,Rocco Neubert,West,MG Special,Account_0357,software,Canada,2024-07-18,2024-09-19,Won,3964.41,3457.22,314539.34,5919,63.0,1,1,2024Q3
SYN000084,Vernita Everman,Cara Losch,East,GTK 500,Account_0414,entertainment,Germany,2025-01-03,,Engaging,2923.46,,164309.26,2282,,0,0,
SYN000085,Corliss Marconi,Rocco Neubert,West,MG Special,Account_0211,retail,Canada,2025-04-11,2025-05-28,Lost,2925.21,0.0,146915.68,1917,47.0,0,1,2025Q2
SYN000086,Boris Purl,Melvin Marxen,East,MG Emperor,Account_0299,telecommunications,Australia,2025-06-08,,Engaging,4226.71,,123782.81,1230,,0,0,
SYN000087,Zane Cordell,Dustin Brinkmann,Central,GTX Plus Basic,Account_0463,finance,United Kingdom,2024-09-11,2024-12-30,Won,4251.03,4157.06,80041.07,137,110.0,1,1,2024Q4
SYN000088,Gaston Grunwald,Rosalind Dwyer,Central,GTK 500,Account_0003,retail,Japan,2025-01-15,2025-03-18,Lost,2674.43,0.0,223620.44,3589,62.0,0,1,2025Q1
SYN000089,Boris Purl,Melvin Marxen,Central,MG Emperor,Account_0316,marketing,United States,2024-04-03,,Engaging,3077.55,,193637.74,3312,,0,0,
SYN000090,Boris Nicholson,Rocco Neubert,East,MG Advanced,Account_0411,software,Canada,2025-04-27,,Engaging,3680.36,,237602.62,3547,,0,0,
SYN000091,Niesha Cordell,Rosalind Dwyer,West,MG Emperor,Account_0128,entertainment,Canada,2024-02-08,2024-04-15,Won,2978.11,2546.27,109816.43,1518,67.0,1,1,2024Q2
SYN000092,Gaston Purl,Melvin Marxen,West,GTK Pro,Account_0328,entertainment,Germany,2023-06-27,2023-09-21,Won,3529.38,3085.82,259957.12,4617,86.0,1,1,2023Q3
SYN000093,Niesha Gauna,Dustin Brinkmann,West,GTK 500,Account_0280,retail,United Kingdom,2024-09-07,,Engaging,2458.05,,115578.38,1256,,0,0,
SYN000094,Wilburn Hillebrand,Summer Sewald,Central,MG Advanced,Account_0008,services,Japan,2023-12-11,2024-02-28,Lost,3533.39,0.0,320000.0,5930,79.0,0,1,2024Q1
SYN000095,Boris Hendon,Summer Sewald,Central,GTK 500,Account_0028,software,Canada,2025-10-24,2026-01-07,Lost,4050.05,0.0,253537.04,4325,75.0,0,1,2026Q1
SYN000096,Cassey Nicholson,Melvin Marxen,West,MG Special,Account_0393,employment,Germany,2022-11-07,2023-01-03,Lost,3066.74,0.0,303499.65,5591,57.0,0,1,2023Q1
SYN000097,Corliss Hillebrand,Dustin Brinkmann,West,MG Emperor,Account_0222,employment,Japan,2024-05-25,2024-07-12,Won,1830.35,1870.99,91603.91,448,48.0,1,1,2024Q3
SYN000098,Zane Everman,Dustin Brinkmann,West,GTK Pro,Account_0493,services,United States,2022-10-19,2022-12-27,Won,2914.32,2835.62,137742.74,2017,69.0,1,1,2022Q4
SYN000099,Kami Cordell,Summer Sewald,West,GTK Pro,Account_0416,software,United States,2022-08-11,2022-11-01,Won,3618.24,3666.4,177394.1,2781,82.0,1,1,2022Q4
SYN000100,Corliss Marconi,Rocco Neubert,West,GTK Pro,Account_0325,technology,Canada,2024-04-25,2024-07-26,Lost,3642.57,0.0,80402.78,657,92.0,0,1,2024Q3
SYN000101,Vernita Everman,Cara Losch,Central,GTK 500,Account_0205,software,United States,2024-05-18,2024-08-16,Won,3912.37,3830.37,130594.17,1849,90.0,1,1,2024Q3
SYN000102,Kami Herrold,Cara Losch,West,GTX Basic,Account_0423,marketing,Germany,2025-10-11,2025-12-10,Won,3220.77,2929.03,164911.32,2486,60.0,1,1,2025Q4
SYN000103,Marty Marconi,Summer Sewald,West,MG Advanced,Account_0106,marketing,United States,2024-03-12,2024-05-21,Lost,3274.34,0.0,215060.19,3263,70.0,0,1,2024Q2
SYN000104,Kami Herrold,Cara Losch,East,GTX Basic,Account_0430,technology,Canada,2024-09-18,2024-12-09,Lost,4316.53,0.0,178897.25,2738,82.0,0,1,2024Q4
SYN000105,Jonathan Everman,Melvin Marxen,East,GTX Plus Pro,Account_0223,entertainment,Germany,2023-07-04,2023-09-23,Lost,3140.18,0.0,198905.68,3255,81.0,0,1,2023Q3
SYN000106,Zane Everman,Dustin Brinkmann,East,GTK Pro,Account_0497,technology,Canada,2024-02-02,2024-04-26,Won,3219.76,2977.05,57193.86,290,84.0,1,1,2024Q2
SYN000107,Jonathan Marconi,Rocco Neubert,West,GTX Basic,Account_0317,retail,United States,2024-05-22,2024-07-07,Lost,2799.15,0.0,309324.89,5335,46.0,0,1,2024Q3
SYN000108,Cassey Marconi,Rocco Neubert,East,MG Advanced,Account_0127,medical,Germany,2025-08-01,2025-11-08,Lost,4823.59,0.0,297859.55,5566,99.0,0,1,2025Q4
SYN000109,Jonathan Berthelot,Summer Sewald,West,GTK 500,Account_0279,entertainment,Germany,2025-07-19,2025-09-18,Lost,2679.61,0.0,71590.25,434,61.0,0,1,2025Q3
SYN000110,Niesha Hillebrand,Rosalind Dwyer,West,GTK 500,Account_0239,marketing,Germany,2023-01-03,2023-02-24,Won,3322.16,2922.37,182884.86,2609,52.0,1,1,2023Q1
SYN000111,Zane Everman,Dustin Brinkmann,Central,MG Special,Account_0175,software,Japan,2023-10-19,2023-12-20,Lost,3649.57,0.0,223161.95,3225,62.0,0,1,2023Q4
SYN000112,Corliss Hillebrand,Dustin Brinkmann,East,GTX Basic,Account_0200,technology,Japan,2025-09-13,2025-12-10,Won,3782.89,3297.79,141420.05,1701,88.0,1,1,2025Q4
SYN000113,Jonathan Hendon,Rosalind Dwyer,West,GTX Plus Basic,Account_0299,services,Australia,2022-04-01,,Engaging,3789.4,,265171.75,4684,,0,0,
SYN000114,Niesha Gauna,Dustin Brinkmann,West,GTK Pro,Account_0350,retail,Canada,2023-07-07,2023-09-12,Won,2764.75,2662.22,247127.06,4018,67.0,1,1,2023Q3
SYN000115,Niesha Hillebrand,Rosalind Dwyer,Central,MG Advanced,Account_0092,employment,Germany,2023-08-02,2023-09-25,Lost,2306.17,0.0,98098.47,1146,54.0,0,1,2023Q3
SYN000116,Cassey Marconi,Rocco Neubert,East,MG Special,Account_0317,entertainment,Canada,2024-03-16,2024-05-18,Won,4051.89,3548.5,289213.91,4839,63.0,1,1,2024Q2
SYN000117,Wilburn Grunwald,Cara Losch,West,GTX Plus Pro,Account_0154,retail,United States,2022-07-12,2022-09-15,Won,2389.19,2105.42,67168.58,161,65.0,1,1,2022Q3
SYN000118,Kami Cordell,Summer Sewald,West,GTX Plus Pro,Account_0227,employment,United Kingdom,2023-02-14,,Engaging,3056.37,,318959.28,5975,,0,0,
SYN000119,Gaston Nicholson,Summer Sewald,East,GTK 500,Account_0058,finance,Canada,2022-08-02,2022-11-01,Lost,4629.81,0.0,211708.36,3448,91.0,0,1,2022Q4
SYN000120,Marty Everman,Rocco Neubert,East,GTX Plus Basic,Account_0464,medical,United States,2024-11-24,,Engaging,5066.05,,203927.58,3458,,0,0,
SYN000121,Marty Vinning,Melvin Marxen,West,GTK 500,Account_0443,finance,Canada,2024-01-13,,Engaging,4390.72,,166951.94,2243,,0,0,
SYN000122,Niesha Everman,Dustin Brinkmann,West,MG Emperor,Account_0451,technology,Canada,2022-12-17,2023-03-04,Won,4096.52,3823.67,278074.25,4436,77.0,1,1,2023Q1
SYN000123,Gaston Sturm,Rocco Neubert,East,GTX Basic,Account_0220,employment,United Kingdom,2022-02-15,2022-04-09,Lost,2565.6,0.0,123681.52,1496,53.0,0,1,2022Q2
SYN000124,Boris Purl,Melvin Marxen,Central,GTX Basic,Account_0066,software,Canada,2025-06-16,,Engaging,4099.58,,320000.0,5616,,0,0,
SYN000125,Cassey Marconi,Rocco Neubert,Central,GTX Plus Basic,Account_0161,technology,Australia,2024-04-12,2024-06-19,Lost,4476.95,0.0,216978.86,3753,68.0,0,1,2024Q2
SYN000126,Niesha Cordell,Rosalind Dwyer,East,MG Emperor,Account_0227,services,Germany,2025-02-11,2025-04-30,Lost,3402.88,0.0,210363.18,3537,78.0,0,1,2025Q2
SYN000127,Boris Purl,Melvin Marxen,East,GTX Plus Pro,Account_0061,services,Japan,2024-05-19,2024-08-06,Won,2899.41,2991.97,91860.78,1109,79.0,1,1,2024Q3
SYN000128,Corliss Marconi,Rocco Neubert,Central,GTX Plus Basic,Account_0004,technology,Germany,2022-05-12,2022-07-26,Won,4025.06,3768.22,105848.5,782,75.0,1,1,2022Q3
SYN000129,Jonathan Everman,Melvin Marxen,East,GTX Plus Pro,Account_0416,software,Australia,2025-12-04,2026-02-06,Won,3373.14,3114.87,128237.11,1396,64.0,1,1,2026Q1
SYN000130,Gaston Grunwald,Rosalind Dwyer,West,GTX Basic,Account_0294,telecommunications,Germany,2023-07-08,,Engaging,4302.22,,198952.5,3405,,0,0,
SYN000131,Niesha Hillebrand,Rosalind Dwyer,East,GTK Pro,Account_0157,employment,Australia,2024-04-07,2024-06-04,Lost,2639.89,0.0,266740.58,4707,58.0,0,1,2024Q2
SYN000132,Niesha Everman,Dustin Brinkmann,East,GTX Plus Pro,Account_0431,technology,Canada,2024-01-10,2024-03-31,Won,3902.75,3783.93,204603.07,3149,81.0,1,1,2024Q1
SYN000133,Niesha Gauna,Dustin Brinkmann,Central,GTK Pro,Account_0188,services,United States,2025-09-16,2025-11-21,Lost,2741.06,0.0,185466.85,2607,66.0,0,1,2025Q4
SYN000134,Jonathan Hendon,Rosalind Dwyer,East,GTK Pro,Account_0312,medical,Canada,2023-12-23,2024-04-16,Lost,4529.13,0.0,115973.0,1399,115.0,0,1,2024Q2
SYN000135,Marty Vinning,Melvin Marxen,East,GTX Plus Basic,Account_0494,employment,Australia,2025-01-24,2025-03-21,Won,2074.12,1868.43,91438.84,354,56.0,1,1,2025Q1
SYN000136,Cassey Nicholson,Melvin Marxen,East,GTX Plus Basic,Account_0160,telecommunications,United Kingdom,2025-12-12,2026-03-18,Lost,4335.77,0.0,176202.74,2772,96.0,0,1,2026Q1
SYN000137,Jonathan Berthelot,Summer Sewald,East,MG Advanced,Account_0268,entertainment,Japan,2025-01-07,,Engaging,2758.21,,73834.12,663,,0,0,
SYN000138,Kami Cordell,Summer Sewald,Central,GTK Pro,Account_0459,medical,Canada,2024-06-06,2024-09-16,Won,4656.45,4666.98,221330.75,3813,102.0,1,1,2024Q3
SYN000139,Zane Sturm,Rosalind Dwyer,West,MG Emperor,Account_0030,finance,United States,2024-09-16,,Engaging,4259.4,,164412.33,2221,,0,0,
SYN000140,Zane Cordell,Dustin Brinkmann,East,GTK 500,Account_0427,technology,Australia,2023-12-01,2024-02-10,Won,3938.09,3525.07,73923.56,457,71.0,1,1,2024Q1
SYN000141,Jonathan Hendon,Rosalind Dwyer,East,GTK Pro,Account_0142,marketing,United States,2023-01-21,2023-04-04,Won,2998.06,3079.53,121830.96,1316,73.0,1,1,2023Q2
SYN000142,Vernita Everman,Cara Losch,Central,GTX Plus Basic,Account_0441,marketing,United States,2025-11-02,2026-01-17,Lost,3022.15,0.0,260738.47,4609,76.0,0,1,2026Q1
SYN000143,Cassey Marconi,Rocco Neubert,West,GTK 500,Account_0312,software,United Kingdom,2024-05-03,2024-07-05,Won,3316.55,3248.03,111688.91,1086,63.0,1,1,2024Q3
SYN000144,Kami Cordell,Summer Sewald,Central,MG Emperor,Account_0370,entertainment,United States,2024-11-17,2025-02-11,Lost,3491.81,0.0,161120.46,2166,86.0,0,1,2025Q1
SYN000145,Niesha Gauna,Dustin Brinkmann,Central,GTK 500,Account_0096,software,Canada,2023-12-23,2024-03-15,Won,3984.53,3852.48,262577.26,4093,83.0,1,1,2024Q1
SYN000146,Niesha Hillebrand,Rosalind Dwyer,West,MG Advanced,Account_0044,entertainment,Germany,2023-06-06,2023-08-09,Won,3492.16,3026.66,120242.81,1492,64.0,1,1,2023Q3
SYN000147,Kami Herrold,Cara Losch,West,MG Emperor,Account_0261,marketing,Canada,2025-12-27,2026-02-13,Won,2857.84,2429.77,83193.42,776,48.0,1,1,2026Q1
