sales_agent,quarter,deals_worked,win_rate,avg_deal_size,avg_cycle_days,revenue,next_quarter_revenue
Boris Purl,2023Q4,62,0.4032258064516129,3781.1470967741934,79.75,6119114.58,6744045.3
Boris Purl,2024Q1,77,0.4025974025974026,3518.3589610389613,75.59420289855072,6744045.3,5045847.13
Boris Purl,2024Q2,73,0.3835616438356164,3714.7650684931505,80.90625,5045847.13,6768734.9399999995
Boris Purl,2024Q3,76,0.3815789473684211,3569.946447368421,77.11111111111111,6768734.9399999995,5785065.31
Boris Purl,2024Q4,63,0.30158730158730157,3514.310634920635,77.76363636363637,5785065.31,4589655.7700000005
Boris Purl,2025Q1,79,0.3670886075949367,3729.629367088608,78.98611111111111,4589655.7700000005,5866576.62
Boris Purl,2025Q2,82,0.35365853658536583,3649.420975609756,80.38028169014085,5866576.62,5655185.94
Boris Purl,2025Q3,80,0.325,3634.0865,76.37878787878788,5655185.94,5693939.52
Boris Purl,2025Q4,78,0.32051282051282054,3667.9426923076926,78.03125,5693939.52,
Boris Sturm,2022Q1,68,0.4117647058823529,3582.6248529411764,76.05357142857143,1151606.3199999998,5359290.66
Boris Sturm,2022Q2,61,0.2786885245901639,3790.1167213114754,81.8695652173913,5359290.66,3543792.77
Boris Sturm,2022Q3,67,0.373134328358209,3624.384328358209,79.125,3543792.77,4129476.9699999997
Boris Sturm,2022Q4,71,0.39436619718309857,3633.8061971830984,79.55555555555556,4129476.9699999997,7399395.74
Boris Sturm,2023Q1,84,0.42857142857142855,3587.9840476190475,77.17333333333333,7399395.74,7049698.78
Boris Sturm,2023Q2,78,0.41025641025641024,3591.7210256410253,75.87096774193549,7049698.78,4765518.08
Boris Sturm,2023Q3,70,0.34285714285714286,3783.817,80.73214285714286,4765518.08,4775478.78
Boris Sturm,2023Q4,67,0.31343283582089554,3913.7249253731343,80.98214285714286,4775478.78,5195762.8
Boris Sturm,2024Q1,89,0.3707865168539326,3534.079887640449,74.68055555555556,5195762.8,6862317.0200000005
Boris Sturm,2024Q2,75,0.37333333333333335,3815.6976,80.03225806451613,6862317.0200000005,5279653.03
Boris Sturm,2024Q3,73,0.3561643835616438,3685.6798630136987,80.65,5279653.03,5271513.51
Boris Sturm,2024Q4,63,0.4444444444444444,3523.7844444444445,76.43137254901961,5271513.51,5612969.46
Boris Sturm,2025Q1,79,0.46835443037974683,3636.6530379746837,77.24657534246575,5612969.46,6259977.2700000005
Boris Sturm,2025Q2,81,0.345679012345679,3599.8590123456793,75.42857142857143,6259977.2700000005,5136989.65
Boris Sturm,2025Q3,73,0.3287671232876712,3857.489315068493,83.26984126984127,5136989.65,7467010.97
Boris Sturm,2025Q4,83,0.4819277108433735,3791.488554216867,79.54054054054055,7467010.97,
Cassey Marconi,2022Q1,67,0.373134328358209,3566.8750746268656,74.18032786885246,1887573.26,4456499.09
Cassey Marconi,2022Q2,62,0.3387096774193548,3624.9412903225802,78.23076923076923,4456499.09,2578082.18
Cassey Marconi,2022Q3,56,0.4107142857142857,3764.8382142857145,78.59183673469387,2578082.18,5084785.52
Cassey Marconi,2022Q4,47,0.46808510638297873,3731.894255319149,77.61904761904762,5084785.52,4884023.61
Cassey Marconi,2023Q1,81,0.4444444444444444,3623.710617283951,76.20289855072464,4884023.61,7514522.16
Cassey Marconi,2023Q2,84,0.44047619047619047,3711.1088095238097,79.13698630136986,7514522.16,5771608.15
Cassey Marconi,2023Q3,55,0.36363636363636365,3655.190909090909,78.63265306122449,5771608.15,3976352.7199999997
Cassey Marconi,2023Q4,68,0.3382352941176471,3705.873235294118,79.61666666666666,3976352.7199999997,5595029.99
Cassey Marconi,2024Q1,85,0.3764705882352941,3511.9483529411764,74.16417910447761,5595029.99,5482187.53
Cassey Marconi,2024Q2,77,0.3116883116883117,3759.152467532467,82.64179104477611,5482187.53,5980480.47
Cassey Marconi,2024Q3,73,0.410958904109589,3688.209178082192,79.59016393442623,5980480.47,6633786.22
Cassey Marconi,2024Q4,73,0.4383561643835616,3702.010684931507,75.6875,6633786.22,5280619.93
Cassey Marconi,2025Q1,93,0.3548387096774194,3756.460322580645,79.26829268292683,5280619.93,6450212.8
Cassey Marconi,2025Q2,90,0.4222222222222222,3590.038,77.1125,6450212.8,7970778.83
Cassey Marconi,2025Q3,87,0.4827586206896552,3584.514482758621,73.60526315789474,7970778.83,7891876.83
Cassey Marconi,2025Q4,72,0.2916666666666667,3556.375555555556,79.6774193548387,7891876.83,
Cassey Nicholson,2022Q1,62,0.46774193548387094,3656.0529032258064,76.94444444444444,1263895.27,5554294.63
Cassey Nicholson,2022Q2,62,0.3548387096774194,3502.7851612903223,73.78846153846153,5554294.63,5257621.61
Cassey Nicholson,2022Q3,57,0.3508771929824561,3661.771754385965,77.16666666666667,5257621.61,3562547.13
Cassey Nicholson,2022Q4,51,0.39215686274509803,3561.1258823529415,72.52272727272727,3562547.13,4859287.93
Cassey Nicholson,2023Q1,87,0.3333333333333333,3711.738850574713,77.84507042253522,4859287.93,5592474.28
Cassey Nicholson,2023Q2,66,0.42424242424242425,3717.4083333333333,78.87272727272727,5592474.28,6505433.12
Cassey Nicholson,2023Q3,60,0.45,3590.305,73.56603773584905,6505433.12,5682420.93
Cassey Nicholson,2023Q4,68,0.3382352941176471,3651.1695588235293,78.47457627118644,5682420.93,5223771.78
Cassey Nicholson,2024Q1,93,0.40860215053763443,3678.7649462365594,78.6842105263158,5223771.78,6811932.16
Cassey Nicholson,2024Q2,78,0.32051282051282054,3605.70217948718,77.02941176470588,6811932.16,5867567.54
Cassey Nicholson,2024Q3,94,0.40425531914893614,3574.199468085106,77.54430379746836,5867567.54,7441291.76
Cassey Nicholson,2024Q4,87,0.41379310344827586,3561.86908045977,73.97260273972603,7441291.76,6340658.42
Cassey Nicholson,2025Q1,107,0.3925233644859813,3588.217757009346,77.27659574468085,6340658.42,8311280.41
Cassey Nicholson,2025Q2,60,0.38333333333333336,3752.3365,82.6938775510204,8311280.41,6022343.84
Cassey Nicholson,2025Q3,79,0.4430379746835443,3489.4755696202533,73.0,6022343.84,4268917.03
Cassey Nicholson,2025Q4,83,0.2891566265060241,3716.527951807229,80.26388888888889,4268917.03,
Corliss Hillebrand,2022Q1,60,0.43333333333333335,3820.2648333333336,81.6078431372549,948115.36,4549623.71
Corliss Hillebrand,2022Q2,65,0.2923076923076923,3805.5563076923077,77.9090909090909,4549623.71,4043348.22
Corliss Hillebrand,2022Q3,52,0.3076923076923077,3835.229230769231,78.08888888888889,4043348.22,4308435.84
Corliss Hillebrand,2022Q4,75,0.38666666666666666,3549.931066666667,75.02898550724638,4308435.84,5796236.54
Corliss Hillebrand,2023Q1,80,0.4625,3631.3445,76.93150684931507,5796236.54,5807359.649999999
Corliss Hillebrand,2023Q2,64,0.234375,3692.5529687499998,80.82692307692308,5807359.649999999,4042060.59
Corliss Hillebrand,2023Q3,59,0.4576271186440678,3691.139152542373,80.58,4042060.59,4268139.58
Corliss Hillebrand,2023Q4,61,0.29508196721311475,3904.199836065574,80.58695652173913,4268139.58,4202770.75
Corliss Hillebrand,2024Q1,77,0.4805194805194805,3640.81012987013,77.40298507462687,4202770.75,8087147.83
Corliss Hillebrand,2024Q2,57,0.45614035087719296,3556.3926315789477,76.94117647058823,8087147.83,6526334.55
Corliss Hillebrand,2024Q3,70,0.44285714285714284,3426.158142857143,73.88524590163935,6526334.55,6690217.63
Corliss Hillebrand,2024Q4,71,0.4225352112676056,3599.2950704225354,75.62903225806451,6690217.63,6011021.39
Corliss Hillebrand,2025Q1,96,0.4166666666666667,3620.556875,77.69135802469135,6011021.39,5914391.38
Corliss Hillebrand,2025Q2,62,0.4032258064516129,3626.5374193548387,77.75471698113208,5914391.38,5051200.5
Corliss Hillebrand,2025Q3,69,0.4492753623188406,3612.9865217391307,75.65454545454546,5051200.5,5776801.390000001
Corliss Hillebrand,2025Q4,85,0.35294117647058826,3720.515294117647,80.61111111111111,5776801.390000001,
Corliss Marconi,2022Q1,70,0.35714285714285715,3541.1568571428575,77.89090909090909,622613.5599999999,4085200.94
Corliss Marconi,2022Q2,60,0.21666666666666667,3547.5353333333333,72.94871794871794,4085200.94,2925893.86
Corliss Marconi,2022Q3,67,0.40298507462686567,3536.1753731343283,74.95,2925893.86,4906456.55
Corliss Marconi,2022Q4,49,0.32653061224489793,3804.250612244898,77.02380952380952,4906456.55,4320315.55
Corliss Marconi,2023Q1,77,0.36363636363636365,3592.749610389611,73.77049180327869,4320315.55,5182240.11
Corliss Marconi,2023Q2,69,0.37681159420289856,3441.3686956521738,74.76190476190476,5182240.11,4542810.3
Corliss Marconi,2023Q3,66,0.3181818181818182,3726.655606060606,77.08928571428571,4542810.3,4264741.79
Corliss Marconi,2023Q4,71,0.39436619718309857,3427.4611267605633,70.51612903225806,4264741.79,5193709.47
Corliss Marconi,2024Q1,92,0.3804347826086957,3572.5222826086956,75.57894736842105,5193709.47,7109557.59
Corliss Marconi,2024Q2,73,0.3698630136986301,3627.641643835617,74.73684210526316,7109557.59,4250515.91
Corliss Marconi,2024Q3,69,0.2463768115942029,3738.240579710145,83.76363636363637,4250515.91,3800846.4699999997
Corliss Marconi,2024Q4,74,0.43243243243243246,3650.6791891891894,80.3015873015873,3800846.4699999997,5502239.08
Corliss Marconi,2025Q1,84,0.4166666666666667,3605.1939285714284,74.34615384615384,5502239.08,7142633.07
Corliss Marconi,2025Q2,75,0.30666666666666664,3741.1822666666662,81.34328358208955,7142633.07,5820557.72
Corliss Marconi,2025Q3,79,0.4430379746835443,3599.419240506329,76.41428571428571,5820557.72,6589394.68
Corliss Marconi,2025Q4,83,0.4578313253012048,3672.994578313253,81.20779220779221,6589394.68,
Gaston Berthelot,2022Q1,55,0.2727272727272727,3867.5478181818185,78.81818181818181,1088172.19,2594393.64
Gaston Berthelot,2022Q2,53,0.3018867924528302,3542.067547169811,75.21951219512195,2594393.64,3547424.71
Gaston Berthelot,2022Q3,63,0.30158730158730157,3725.8542857142857,80.36,3547424.71,4545505.52
Gaston Berthelot,2022Q4,67,0.31343283582089554,3607.6801492537315,77.73214285714286,4545505.52,4514409.6899999995
Gaston Berthelot,2023Q1,61,0.4098360655737705,3522.5522950819673,75.58181818181818,4514409.6899999995,4436229.3
Gaston Berthelot,2023Q2,73,0.3561643835616438,3621.292191780822,76.57377049180327,4436229.3,3945035.72
Gaston Berthelot,2023Q3,67,0.3283582089552239,3579.7922388059706,76.49056603773585,3945035.72,3827427.04
Gaston Berthelot,2023Q4,75,0.36,3748.077333333333,80.71212121212122,3827427.04,6980475.42
Gaston Berthelot,2024Q1,88,0.42045454545454547,3624.2454545454543,78.0,6980475.42,7169260.14
Gaston Berthelot,2024Q2,86,0.46511627906976744,3650.561511627907,77.10958904109589,7169260.14,7550319.28
Gaston Berthelot,2024Q3,90,0.43333333333333335,3576.8834444444446,75.67901234567901,7550319.28,6812358.66
Gaston Berthelot,2024Q4,70,0.42857142857142855,3557.4197142857142,77.0952380952381,6812358.66,7156286.98
Gaston Berthelot,2025Q1,87,0.39080459770114945,3540.934137931035,75.15789473684211,7156286.98,4468625.92
Gaston Berthelot,2025Q2,71,0.4507042253521127,3680.402957746479,77.65079365079364,4468625.92,6583561.62
Gaston Berthelot,2025Q3,68,0.4264705882352941,3641.2348529411765,76.76923076923077,6583561.62,5144229.63
Gaston Berthelot,2025Q4,78,0.358974358974359,3707.0738461538463,79.98550724637681,5144229.63,
Gaston Grunwald,2022Q1,70,0.4142857142857143,3539.972714285714,72.96428571428571,1003040.88,5456042.12
Gaston Grunwald,2022Q2,64,0.28125,3831.90828125,80.85454545454546,5456042.12,3573595.57
Gaston Grunwald,2022Q3,59,0.423728813559322,3819.7094915254233,81.17307692307692,3573595.57,5001918.93
Gaston Grunwald,2022Q4,52,0.3269230769230769,3597.4351923076924,73.70731707317073,5001918.93,4402241.08
Gaston Grunwald,2023Q1,82,0.32926829268292684,3693.021219512195,79.4927536231884,4402241.08,4808913.83
Gaston Grunwald,2023Q2,78,0.38461538461538464,3625.3039743589748,77.8923076923077,4808913.83,5617789.9
Gaston Grunwald,2023Q3,76,0.2894736842105263,3794.4267105263157,83.06060606060606,5617789.9,5362033.98
Gaston Grunwald,2023Q4,80,0.375,3686.4056250000003,76.70422535211267,5362033.98,5366567.74
Gaston Grunwald,2024Q1,71,0.43661971830985913,3657.391408450704,76.42372881355932,5366567.74,5626807.36
Gaston Grunwald,2024Q2,69,0.463768115942029,3427.6446376811596,74.35714285714286,5626807.36,5678809.06
Gaston Grunwald,2024Q3,72,0.4166666666666667,3650.0318055555554,80.88524590163935,5678809.06,6536666.68
Gaston Grunwald,2024Q4,95,0.37894736842105264,3633.136526315789,79.42168674698796,6536666.68,6825322.54
Gaston Grunwald,2025Q1,79,0.3037974683544304,3717.64417721519,77.2394366197183,6825322.54,5368486.9
Gaston Grunwald,2025Q2,93,0.44086021505376344,3637.729247311828,78.35,5368486.9,9418508.57
Gaston Grunwald,2025Q3,107,0.35514018691588783,3625.943831775701,77.5764705882353,9418508.57,6848738.0
Gaston Grunwald,2025Q4,81,0.32098765432098764,3693.1743209876545,81.37142857142857,6848738.0,
Gaston Nicholson,2022Q1,50,0.38,3574.8856,72.02439024390245,911178.3300000001,4282841.72
Gaston Nicholson,2022Q2,56,0.5178571428571429,3705.6982142857146,76.73913043478261,4282841.72,6642232.01
Gaston Nicholson,2022Q3,58,0.3275862068965517,3631.96275862069,77.65957446808511,6642232.01,3880589.44
Gaston Nicholson,2022Q4,62,0.41935483870967744,3703.8390322580644,78.85185185185185,3880589.44,4740529.22
Gaston Nicholson,2023Q1,87,0.40229885057471265,3624.25091954023,78.35,4740529.22,6296744.44
Gaston Nicholson,2023Q2,55,0.41818181818181815,3481.2283636363636,73.58333333333333,6296744.44,4447478.96
Gaston Nicholson,2023Q3,58,0.4482758620689655,3627.044310344828,74.79591836734694,4447478.96,5673113.88
Gaston Nicholson,2023Q4,62,0.4032258064516129,3566.667258064516,77.38775510204081,5673113.88,4557616.86
Gaston Nicholson,2024Q1,91,0.43956043956043955,3664.323956043956,75.65277777777777,4557616.86,7587257.46
Gaston Nicholson,2024Q2,76,0.35526315789473684,3553.6801315789476,77.56923076923077,7587257.46,4602035.0200000005
Gaston Nicholson,2024Q3,74,0.2972972972972973,3525.0274324324323,76.49180327868852,4602035.0200000005,4115452.86
Gaston Nicholson,2024Q4,70,0.35714285714285715,3605.4945714285714,76.49152542372882,4115452.86,4557295.75
Gaston Nicholson,2025Q1,85,0.3764705882352941,3793.5934117647057,81.73611111111111,4557295.75,7254723.91
Gaston Nicholson,2025Q2,74,0.33783783783783783,3650.3175675675675,76.21311475409836,7254723.91,5308189.33
Gaston Nicholson,2025Q3,90,0.4,3643.663,79.97297297297297,5308189.33,6399668.55
Gaston Nicholson,2025Q4,67,0.3880597014925373,3653.0392537313433,77.45614035087719,6399668.55,
Gaston Purl,2022Q1,72,0.4166666666666667,3666.9927777777775,80.35384615384615,1450063.77,3695373.83
Gaston Purl,2022Q2,30,0.23333333333333334,3633.0673333333334,75.88,3695373.83,2913746.59
Gaston Purl,2022Q3,60,0.35,3810.6815,82.0,2913746.59,3481142.21
Gaston Purl,2022Q4,58,0.3448275862068966,3677.897413793103,74.20408163265306,3481142.21,4736117.83
Gaston Purl,2023Q1,78,0.358974358974359,3658.8276923076924,78.49230769230769,4736117.83,6863611.05
Gaston Purl,2023Q2,54,0.5185185185185185,3680.3464814814815,74.95833333333333,6863611.05,4584240.46
Gaston Purl,2023Q3,63,0.42857142857142855,3619.616666666667,76.10526315789474,4584240.46,6261129.43
Gaston Purl,2023Q4,80,0.4,3588.21,73.41666666666667,6261129.43,6406364.61
Gaston Purl,2024Q1,80,0.45,3584.532875,78.11267605633803,6406364.61,6731833.71
Gaston Purl,2024Q2,76,0.4342105263157895,3510.157368421053,77.3623188405797,6731833.71,6330953.76
Gaston Purl,2024Q3,68,0.36764705882352944,3601.3839705882356,74.93103448275862,6330953.76,3668383.52
Gaston Purl,2024Q4,76,0.3157894736842105,3524.6925,76.85074626865672,3668383.52,5006585.98
Gaston Purl,2025Q1,80,0.425,3684.2870000000003,78.35820895522389,5006585.98,6917971.59
Gaston Purl,2025Q2,74,0.32432432432432434,3719.4993243243243,79.47457627118644,6917971.59,5022976.0
Gaston Purl,2025Q3,77,0.36363636363636365,3623.0499999999997,76.82352941176471,5022976.0,5604859.4399999995
Gaston Purl,2025Q4,77,0.37662337662337664,3744.301168831169,81.61764705882354,5604859.4399999995,
Gaston Sturm,2022Q1,54,0.42592592592592593,3555.3214814814814,77.47916666666667,528418.16,4495604.15
Gaston Sturm,2022Q2,60,0.43333333333333335,3723.7311666666665,80.71428571428571,4495604.15,7364163.79
Gaston Sturm,2022Q3,63,0.4603174603174603,3698.9947619047616,77.58490566037736,7364163.79,4155762.94
Gaston Sturm,2022Q4,38,0.3684210526315789,3607.499736842105,77.51515151515152,4155762.94,3572896.36
Gaston Sturm,2023Q1,65,0.36923076923076925,3660.9956923076925,77.62068965517241,3572896.36,4020470.11
Gaston Sturm,2023Q2,49,0.5306122448979592,3645.968775510204,79.85714285714286,4020470.11,7448570.94
Gaston Sturm,2023Q3,76,0.32894736842105265,3655.629736842105,77.56716417910448,7448570.94,3599795.36
Gaston Sturm,2023Q4,59,0.4067796610169492,3662.135084745763,76.6078431372549,3599795.36,5021243.4
Gaston Sturm,2024Q1,89,0.33707865168539325,3576.6744943820227,72.36619718309859,5021243.4,5668977.38
Gaston Sturm,2024Q2,71,0.49295774647887325,3592.4964788732395,78.15384615384616,5668977.38,6361863.53
Gaston Sturm,2024Q3,77,0.4025974025974026,3569.4494805194804,78.0,6361863.53,6142275.67
Gaston Sturm,2024Q4,88,0.3977272727272727,3505.9161363636363,75.24657534246575,6142275.67,5972129.33
Gaston Sturm,2025Q1,86,0.38372093023255816,3547.719534883721,76.67605633802818,5972129.33,5055409.96
Gaston Sturm,2025Q2,103,0.33980582524271846,3535.8093203883495,77.51764705882353,5055409.96,6653484.5
Gaston Sturm,2025Q3,80,0.3125,3683.812375,78.62121212121212,6653484.5,5532829.73
Gaston Sturm,2025Q4,70,0.3142857142857143,3708.502428571429,79.50877192982456,5532829.73,
Jonathan Berthelot,2022Q1,59,0.3559322033898305,3761.5094915254235,79.0,1012188.47,4818820.91
Jonathan Berthelot,2022Q2,57,0.3157894736842105,3622.0284210526315,77.83673469387755,4818820.91,3430878.31
Jonathan Berthelot,2022Q3,41,0.3902439024390244,3728.7617073170736,78.10810810810811,3430878.31,3978099.99
Jonathan Berthelot,2022Q4,48,0.3958333333333333,3539.2075,74.925,3978099.99,4422800.63
Jonathan Berthelot,2023Q1,72,0.4027777777777778,3613.268611111111,77.953125,4422800.63,4072968.68
Jonathan Berthelot,2023Q2,60,0.3,3712.1438333333335,80.74,4072968.68,4690803.62
Jonathan Berthelot,2023Q3,70,0.37142857142857144,3824.6540000000005,78.76470588235294,4690803.62,5659987.34
Jonathan Berthelot,2023Q4,67,0.3880597014925373,3618.409552238806,78.6470588235294,5659987.34,5555821.84
Jonathan Berthelot,2024Q1,85,0.38823529411764707,3683.0537647058823,79.64935064935065,5555821.84,5821425.9399999995
Jonathan Berthelot,2024Q2,76,0.42105263157894735,3729.499473684211,81.65671641791045,5821425.9399999995,7636205.85
Jonathan Berthelot,2024Q3,84,0.4166666666666667,3606.2554761904767,77.39473684210526,7636205.85,6309101.23
Jonathan Berthelot,2024Q4,72,0.3194444444444444,3583.7077777777777,76.11290322580645,6309101.23,5591452.5
Jonathan Berthelot,2025Q1,95,0.30526315789473685,3778.7364210526316,79.46666666666667,5591452.5,6804037.13
Jonathan Berthelot,2025Q2,63,0.4603174603174603,3674.6111111111113,80.80357142857143,6804037.13,5526532.41
Jonathan Berthelot,2025Q3,86,0.3488372093023256,3690.8404651162796,79.08108108108108,5526532.41,4877502.96
Jonathan Berthelot,2025Q4,69,0.36231884057971014,3512.291304347826,76.2280701754386,4877502.96,
Jonathan Everman,2022Q1,61,0.3442622950819672,3484.6683606557376,74.74,589589.96,4037766.07
Jonathan Everman,2022Q2,57,0.43859649122807015,3510.681403508772,75.26530612244898,4037766.07,3967871.34
Jonathan Everman,2022Q3,48,0.22916666666666666,3709.0916666666667,75.70731707317073,3967871.34,2620845.51
Jonathan Everman,2022Q4,64,0.359375,3549.906875,75.5925925925926,2620845.51,4505668.08
Jonathan Everman,2023Q1,80,0.4375,3662.1136250000004,80.1304347826087,4505668.08,7061217.17
Jonathan Everman,2023Q2,53,0.41509433962264153,3650.1056603773586,78.54166666666667,7061217.17,3934354.94
Jonathan Everman,2023Q3,71,0.38028169014084506,3607.4160563380283,77.7719298245614,3934354.94,4647318.3100000005
Jonathan Everman,2023Q4,47,0.5106382978723404,3483.8317021276594,72.33333333333333,4647318.3100000005,5442861.17
Jonathan Everman,2024Q1,86,0.4418604651162791,3528.5853488372095,77.31944444444444,5442861.17,8039662.66
Jonathan Everman,2024Q2,62,0.3870967741935484,3649.909032258064,73.72549019607843,8039662.66,6319416.54
Jonathan Everman,2024Q3,91,0.38461538461538464,3725.6631868131867,79.34117647058824,6319416.54,6353827.66
Jonathan Everman,2024Q4,80,0.3875,3642.6952499999998,76.58461538461539,6353827.66,7120811.97
Jonathan Everman,2025Q1,90,0.3888888888888889,3767.461111111111,82.325,7120811.97,6759847.63
Jonathan Everman,2025Q2,84,0.35714285714285715,3704.467738095238,78.7605633802817,6759847.63,5797642.2299999995
Jonathan Everman,2025Q3,69,0.4057971014492754,3771.4991304347827,80.03333333333333,5797642.2299999995,4859576.03
Jonathan Everman,2025Q4,71,0.39436619718309857,3746.1374647887324,76.10909090909091,4859576.03,
Jonathan Hendon,2022Q1,63,0.4444444444444444,3486.7955555555554,75.28301886792453,1393403.43,5083241.4
Jonathan Hendon,2022Q2,71,0.352112676056338,3557.7942253521123,75.28070175438596,5083241.4,4873124.39
Jonathan Hendon,2022Q3,49,0.4489795918367347,3698.3718367346937,76.88636363636364,4873124.39,3937935.7
